logFC logCPM PValue FDR
VIT_05s0020g04510 -1.76051348599413 8.98695826175289 2.24730594037451e-14 2.67294568548144e-10
VIT_01s0010g03530 -3.14702005863482 2.79181033816059 1.55075736623472e-13 9.2223540569979e-10
VIT_07s0104g01620 -4.6989620776216 2.00695541186335 5.25538143321041e-13 2.50030027066418e-09
VIT_05s0020g04220 -6.47092605280681 7.21445611363937 9.6513265659152e-12 3.82642927249984e-08
VIT_17s0000g09400 -3.78201059866236 2.41820799839193 3.33833918843593e-11 9.92655157681425e-08
VIT_08s0007g05060 -2.43348166796724 7.31239185637392 5.44317256380549e-11 1.23895557136172e-07
VIT_03s0038g02800 -2.96526198060295 4.27179311652914 5.72915389481203e-11 1.23895557136172e-07
VIT_18s0122g00290 -6.94909629234914 4.56809195498548 1.14834760184586e-10 2.14387914063214e-07
VIT_13s0067g00220 -3.58092519083502 4.56503834869106 4.01542923405148e-10 6.82278790140119e-07
VIT_08s0007g07400 -3.37801730774281 6.2913230211811 4.66186175316095e-10 7.39309115894618e-07
VIT_17s0000g03010 -2.51684009169262 3.04864668278086 5.71167601043656e-10 8.49183430851656e-07
VIT_04s0008g05640 -3.89364166759755 6.41504053955361 7.63927303447848e-10 1.00393195027795e-06
VIT_13s0073g00550 -2.36126138307113 3.39728972406476 8.01862580094212e-10 1.00393195027795e-06
VIT_11s0016g04810 -5.65990075107621 3.16195272115617 1.08074484884324e-09 1.22422659353729e-06
VIT_13s0067g02340 -3.33578327783222 2.86108887123343 1.54347692310799e-09 1.46864916187571e-06
VIT_04s0008g01740 -3.82655079909351 3.22521468451203 1.63496018032058e-09 1.49586279882561e-06
VIT_04s0008g01970 -5.65716788042528 7.80917503367355 2.25689854978474e-09 1.85127940352688e-06
VIT_05s0094g00930 -2.03785566256248 3.50845693548626 2.39414238014986e-09 1.87780464537625e-06
VIT_07s0005g02480 -3.08454553493483 3.68472398473543 2.4471138391905e-09 1.87780464537625e-06
VIT_14s0108g01420 -2.79659514484318 6.90120348550353 2.9999838120925e-09 2.16253378551686e-06
VIT_17s0000g02650 -6.81870185735722 2.88468209112482 3.23628539953588e-09 2.26425756129881e-06
VIT_15s0107g00270 -3.01938890670317 5.41276590784365 4.07629523617661e-09 2.77048317366198e-06
VIT_15s0021g01880 -5.42074156027771 3.73882667295021 4.76426159475493e-09 3.14811818933417e-06
VIT_18s0001g09360 -3.36368463424439 7.10210982446873 5.50381021324632e-09 3.35704198340266e-06
VIT_13s0019g00740 -2.89628796366226 3.11249314720087 8.59005949759594e-09 5.1085083832203e-06
VIT_14s0036g01060 -2.34895434215612 5.60918181650067 9.00938298387749e-09 5.22720005903604e-06
VIT_06s0004g07680 -8.26209907755401 6.94635968215765 9.40424980489386e-09 5.32638796092417e-06
VIT_06s0004g07310 -3.33345759809323 3.08961324406309 1.08095270650727e-08 5.97993092613833e-06
VIT_01s0026g01950 -3.30032358770149 6.94330278638966 1.30586277289111e-08 6.90308080922972e-06
VIT_16s0022g02200 -6.10668541805726 7.88854801380129 1.41070041104584e-08 7.13994497403372e-06
VIT_00s0802g00020 -2.37924019968432 5.14997005118133 1.50695687975872e-08 7.44784946243075e-06
VIT_00s0583g00030 -1.83504909894964 4.97473141463585 1.53415429485079e-08 7.44784946243075e-06
VIT_12s0028g00040 -7.50413553666929 3.47727948095391 1.83225191277599e-08 8.54619774531671e-06
VIT_04s0023g03060 -1.67539026424956 4.58490245801452 2.14583421705574e-08 9.72689697401159e-06
VIT_06s0080g00420 -5.39562088339615 4.56535581645224 2.24156901253406e-08 9.72689697401159e-06
VIT_16s0050g01980 -4.54906612762748 1.61134289733713 2.24894624840524e-08 9.72689697401159e-06
VIT_09s0002g08960 -2.35995846290843 3.03076364945462 2.41607370074796e-08 1.02631359273915e-05
VIT_03s0038g02090 -2.20614612880083 5.90859051674926 2.54472293856543e-08 1.06199770636131e-05
VIT_13s0019g03210 -1.87160487390981 4.51645111077114 2.73603787625067e-08 1.11157866455624e-05
VIT_01s0026g01780 -2.81522203406311 4.53234862865283 2.91908475262991e-08 1.15731980159267e-05
VIT_11s0037g00570 -6.79756647384565 6.40599675756439 3.08723366400586e-08 1.18450184515115e-05
VIT_13s0320g00060 -5.54734545122497 5.31840123353876 3.20137154639198e-08 1.20879724358052e-05
VIT_08s0007g04510 -5.5451699236645 3.53839283327068 3.32019748990471e-08 1.22715252331344e-05
VIT_12s0035g00880 -4.51901330212199 4.50885321211756 3.35315764315511e-08 1.22715252331344e-05
VIT_01s0026g01290 -1.55477987252882 4.022211206173 3.47668717226611e-08 1.24173133166524e-05
VIT_12s0057g00210 -4.72979308013317 1.17702525679503 3.49739361113046e-08 1.24173133166524e-05
VIT_14s0030g01360 -1.65267639485785 4.89535598291659 3.5588202514786e-08 1.2442537659855e-05
VIT_03s0038g02230 -3.47050315810821 7.60007131704589 3.83501436814868e-08 1.30324745413601e-05
VIT_07s0129g00300 -3.00422474662541 1.60988841992357 4.41052579029088e-08 1.4777124999921e-05
VIT_04s0023g01660 -1.95885904026562 5.13851506037856 4.7232856384671e-08 1.56052109399799e-05
VIT_14s0006g02290 -5.2084551766395 1.89753111301256 4.94533762441736e-08 1.58972555958973e-05
VIT_14s0083g00400 -1.88207208059048 6.22519614838313 5.32392052318818e-08 1.68860561874134e-05
VIT_13s0019g02490 -5.5477636594757 4.22329101489072 5.45035415638062e-08 1.70596085094714e-05
VIT_07s0005g04110 -5.68397913131054 3.49836304067364 6.05986280099206e-08 1.82470906721518e-05
VIT_01s0011g00590 -5.21656903450688 5.81771636047251 6.46566016618102e-08 1.88204826016515e-05
VIT_16s0022g01970 -4.56180231380497 2.24531303410342 6.58949911839354e-08 1.88204826016515e-05
VIT_01s0026g01490 -2.88645095886475 4.38898429552335 6.64277395386608e-08 1.88204826016515e-05
VIT_19s0027g01890 -8.46289687217403 4.53034287117135 6.64587413207804e-08 1.88204826016515e-05
VIT_05s0020g02690 -3.18004089868586 8.00918130699204 6.8944742549264e-08 1.92947945383752e-05
VIT_01s0026g01790 -1.67564070896378 5.30350959285081 7.48340607253496e-08 2.06994492620304e-05
VIT_12s0028g03350 -5.69107019480337 4.29534623773436 8.08842256999548e-08 2.21157926546037e-05
VIT_08s0007g07550 -2.90061698871374 4.72262311398784 8.65537697120307e-08 2.31341693697729e-05
VIT_07s0129g00310 -3.2788807725647 4.35539684548546 9.35450414938776e-08 2.45416740363191e-05
VIT_17s0000g00270 -3.54764068735517 1.39561301865157 9.38831485330855e-08 2.45416740363191e-05
VIT_11s0052g00800 -3.07113790053549 1.34776367780956 9.95881883873758e-08 2.52681496201712e-05
VIT_04s0023g02650 -5.04563578968406 3.82050119939902 1.04479801885525e-07 2.58892242422175e-05
VIT_12s0057g00200 -5.88652823869958 4.24129249700517 1.07244322981257e-07 2.63002881966818e-05
VIT_03s0038g02150 -2.54308776265154 2.57718412410224 1.15394311394807e-07 2.80102028516292e-05
VIT_13s0158g00080 -4.40424685524364 3.54584842931244 1.19268865568424e-07 2.86582603448653e-05
VIT_19s0014g03240 -3.36343936890255 4.99191966704722 1.21171084315925e-07 2.88241775370721e-05
VIT_17s0000g04150 -3.65965900507023 5.25273582539385 1.28140200809785e-07 3.01801890778531e-05
VIT_17s0000g02120 -1.74838976121612 3.07519692173582 1.50801805383588e-07 3.47336311192823e-05
VIT_06s0004g00220 -2.51936024433997 3.13114783179986 1.5185377654302e-07 3.47336311192823e-05
VIT_17s0000g08750 -1.51200190735165 4.35971128121686 1.5477443823827e-07 3.50645174934473e-05
VIT_06s0004g00880 -2.05269051600031 5.2716980308181 1.62371836802632e-07 3.62778403105752e-05
VIT_05s0124g00530 -1.69234824523184 4.72786308763193 2.06517860205796e-07 4.44473502217568e-05
VIT_14s0006g01620 -6.48392485998488 3.02226269819076 2.09417029555346e-07 4.44473502217568e-05
VIT_16s0022g00670 -5.53329777830676 8.66966292241102 2.10437779891633e-07 4.44473502217568e-05
VIT_10s0003g00040 -1.96351525546327 3.79794622035086 2.11137992898038e-07 4.44473502217568e-05
VIT_19s0015g01120 -5.83702792661126 3.3673605203025 2.13192253228168e-07 4.44861168402777e-05
VIT_07s0031g02170 -2.45044533521007 6.00862324577227 2.15170214884925e-07 4.45084267102835e-05
VIT_01s0011g03050 -3.18462019230248 3.5921457925975 2.26691874089083e-07 4.47572822653618e-05
VIT_11s0016g03360 -1.75264956071773 3.55183438965492 2.28344262961841e-07 4.47572822653618e-05
VIT_04s0044g01740 -2.36734786519497 4.66797294056493 2.29506981344955e-07 4.47572822653618e-05
VIT_08s0007g03820 -2.77861107541537 3.32351002294782 2.30313087247981e-07 4.47572822653618e-05
VIT_17s0000g08530 -2.03456885266623 5.47842409168588 2.31425328679986e-07 4.47572822653618e-05
VIT_07s0005g02220 -6.34862990049141 6.01734797644928 2.47800578259724e-07 4.71574412451384e-05
VIT_14s0006g02760 -2.56402593858624 6.25791597789089 2.5665744732194e-07 4.80737587157033e-05
VIT_01s0137g00820 -3.66771600810261 2.8931263415744 2.66892266660483e-07 4.96002596821841e-05
VIT_11s0016g00300 -4.53575384102895 3.59088187759488 2.82877582827605e-07 5.2163503413202e-05
VIT_14s0083g01210 -2.39301236005479 4.02602827262686 2.95501355701032e-07 5.40722019185857e-05
VIT_16s0022g01430 -3.40013675070451 7.23038871965469 3.07425363270864e-07 5.57184243023437e-05
VIT_09s0002g04080 -5.00855361647183 6.29244615212384 3.09182445262711e-07 5.57184243023437e-05
VIT_06s0004g03130 -2.75910030106111 6.66372652705296 3.23730947083059e-07 5.74694908150134e-05
VIT_09s0002g03860 -2.87740255548988 3.69046031327361 3.28336006450726e-07 5.76075677677412e-05
VIT_09s0002g06300 -1.97907287125147 3.68272517119333 3.62367180889427e-07 6.2014320136674e-05
VIT_02s0025g01750 -4.4055912425566 3.44077347914421 3.79841430601941e-07 6.40827514266594e-05
VIT_07s0031g00110 -4.93303894768768 1.52153985979826 3.94557825894908e-07 6.56345563803362e-05
VIT_18s0001g12180 -3.14121648340564 2.2288055212099 3.98816008076788e-07 6.58821888897961e-05
VIT_06s0004g06090 -4.78039150293442 1.8234557566302 4.08070890872706e-07 6.69461403591719e-05
VIT_05s0094g00510 -2.21954539977154 2.94364791303722 4.12047154079823e-07 6.71354637071975e-05
VIT_07s0141g00740 -3.90572791419483 2.30142324522184 4.75038271990751e-07 7.48280232951498e-05
VIT_19s0014g03200 -1.64688560515087 5.22695140390402 4.82115876847126e-07 7.48280232951498e-05
VIT_13s0019g01840 -1.83446978125148 5.4403670603737 4.85375402110246e-07 7.48280232951498e-05
VIT_06s0004g00620 -3.17759284852157 4.68196785415526 4.86116213556577e-07 7.48280232951498e-05
VIT_07s0031g00130 -2.17639137778294 4.9597245451709 4.89475044121955e-07 7.48280232951498e-05
