logFC logCPM PValue FDR
VIT_13s0064g01500 7.48630598310629 1.67768528987367 2.66983771053512e-09 6.35100994582095e-05
VIT_00s0199g00200 1.54774318537822 -0.878882278746872 2.18923052515438e-08 0.000173591385774575
VIT_14s0006g01780 3.25083861187102 -0.442421308665004 1.35822539037091e-07 0.000656069487383385
VIT_07s0005g04040 4.77443762800768 -0.0455599948619938 1.59358449565223e-07 0.000656069487383385
VIT_13s0064g01490 7.20735327280743 1.70993549470876 1.65479103930566e-07 0.000656069487383385
VIT_01s0010g03820 3.45029104041389 -0.276092857586146 3.13539278496586e-07 0.0010654960509824
VIT_19s0176g00050 5.36471430767679 -1.18623692828615 4.29023218866493e-07 0.00127570054129952
VIT_07s0129g00140 2.02098645258716 2.68086027964132 1.33533543446124e-06 0.0031764959314964
VIT_19s0176g00060 4.37727470439701 -0.700938232402931 2.48793808012463e-06 0.0049319225875004
VIT_10s0003g03940 2.17802820624673 0.796902023210609 3.50961538234147e-06 0.00596333790822421
VIT_13s0106g00470 5.62994467374206 -2.33822817951799 5.82078572975588e-06 0.00769249171885739
VIT_06s0004g03830 3.53134625384993 -1.1792213196546 1.87106809593251e-05 0.0222544839330213
VIT_19s0014g04090 2.27137344750866 1.37385071027724 2.25220364364296e-05 0.0236868795858004
VIT_11s0016g03600 5.91589058073653 -2.45789790630266 2.79098516085393e-05 0.0247256168604879
VIT_00s1536g00010 1.76318848624264 -0.726866211507508 4.1497025500266e-05 0.0340390083655285
VIT_18s0075g01060 2.56237924742288 -2.39943289024432 6.54653908848488e-05 0.0468848885958937
VIT_07s0005g03260 2.29723845890944 -0.0973982705766442 6.70121999436853e-05 0.0468848885958937
VIT_00s0454g00040 3.34688866207831 -1.65341502580408 6.96485339153628e-05 0.0472350282224868
VIT_00s0198g00010 1.65417704196517 0.290946152436373 7.52523679297789e-05 0.0483811710355022
